Date,Price
7/2/2017,2930
8/2/2017,2919
9/2/2017,2926
10/2/2017,2936
11/2/2017,2936
12/2/2017,2942
13/02/2017,2934
14/02/2017,2900
15/02/2017,2912
16/02/2017,2902
17/02/2017,2917
18/02/2017,2917
19/02/2017,2903
20/02/2017,2922
21/02/2017,2939
22/02/2017,2927
23/02/2017,2908
24/02/2017,2891
25/02/2017,2891
26/02/2017,2890
27/02/2017,2922
28/02/2017,2882
31/03/2017,2851
30/03/2017,2864
29/03/2017,2865
28/03/2017,2888
27/03/2017,2884
26/03/2017,2879
25/03/2017,2879
24/03/2017,2880
23/03/2017,2886
22/03/2017,2888
21/03/2017,2865
20/03/2017,2854
19/03/2017,2851
18/03/2017,2851
17/03/2017,2848
16/03/2017,2845
15/03/2017,2796
14/03/2017,2812
13/03/2017,2825
12/3/2017,2837
11/3/2017,2837
10/3/2017,2834
9/3/2017,2852
8/3/2017,2864
7/3/2017,2880
6/3/2017,2908
5/3/2017,2902
4/3/2017,2902
3/3/2017,2904
2/3/2017,2929
1/3/2017,2935
30/04/2017,2887
29/04/2017,2887
28/04/2017,2886
27/04/2017,2881
26/04/2017,2873
25/04/2017,2891
24/04/2017,2908
23/04/2017,2942
22/04/2017,2942
21/04/2017,2938
20/04/2017,2931
19/04/2017,2928
18/04/2017,2941
17/04/2017,2946
16/04/2017,2941
15/04/2017,2941
14/04/2017,2941
13/04/2017,2933
12/4/2017,2926
11/4/2017,2909
10/4/2017,2869
9/4/2017,2868
8/4/2017,2868
7/4/2017,2889
6/4/2017,2875
5/4/2017,2868
4/4/2017,2889
3/4/2017,2869
2/4/2017,2846
1/4/2017,2846
31/05/2017,2871
30/05/2017,2879
29/05/2017,2889
28/05/2017,2889
27/05/2017,2889
26/05/2017,2885
25/05/2017,2864
24/05/2017,2869
23/05/2017,2890
22/05/2017,2874
21/05/2017,2864
20/05/2017,2864
19/05/2017,2861
18/05/2017,2875
17/05/2017,2858
16/05/2017,2812
15/05/2017,2808
14/05/2017,2801
13/05/2017,2801
12/5/2017,2807
11/5/2017,2806
10/5/2017,2805
9/5/2017,2800
8/5/2017,2810
7/5/2017,2807
6/5/2017,2807
5/5/2017,2810
4/5/2017,2809
3/5/2017,2849
2/5/2017,2857
1/5/2017,2883
30/06/2017,2847
29/06/2017,2851
28/06/2017,2860
27/06/2017,2856
26/06/2017,2847
25/06/2017,2873
24/06/2017,2873
23/06/2017,2874
22/06/2017,2868
21/06/2017,2854
20/06/2017,2853
19/06/2017,2859
18/06/2017,2869
17/06/2017,2869
16/06/2017,2874
15/06/2017,2879
14/06/2017,2903
13/06/2017,2890
12/6/2017,2899
11/6/2017,2902
10/6/2017,2902
9/6/2017,2895
8/6/2017,2910
7/6/2017,2952
6/6/2017,2953
5/6/2017,2899
4/6/2017,2887
3/6/2017,2887
2/6/2017,2888
1/6/2017,2862
31/07/2017,2859
30/07/2017,2858
29/07/2017,2858
28/07/2017,2853
27/07/2017,2842
26/07/2017,2836
25/07/2017,2846
24/07/2017,2855
23/07/2017,2854
22/07/2017,2854
21/07/2017,2848
20/07/2017,2830
19/07/2017,2822
18/07/2017,2824
17/07/2017,2810
16/07/2017,2800
15/07/2017,2800
14/07/2017,2798
13/07/2017,2786
12/7/2017,2793
11/7/2017,2769
10/7/2017,2772
9/7/2017,2778
8/7/2017,2778
7/7/2017,2786
6/7/2017,2811
5/7/2017,2809
4/7/2017,2813
3/7/2017,2815
2/7/2017,2844
1/7/2017,2844
31/08/2017,2971
30/08/2017,2955
29/08/2017,2978
28/08/2017,2926
27/08/2017,2917
26/08/2017,2917
25/08/2017,2911
24/08/2017,2907
23/08/2017,2915
22/08/2017,2910
21/08/2017,2924
20/08/2017,2916
19/08/2017,2916
18/08/2017,2933
17/08/2017,2910
16/08/2017,2890
15/08/2017,2908
14/08/2017,2908
13/08/2017,2920
12/8/2017,2920
11/8/2017,2917
10/8/2017,2919
9/8/2017,2877
8/8/2017,2833
7/8/2017,2845
6/8/2017,2841
5/8/2017,2841
4/8/2017,2844
3/8/2017,2847
2/8/2017,2847
1/8/2017,2848
30/09/2017,2956
29/09/2017,2961
28/09/2017,2957
27/09/2017,2976
26/09/2017,2992
25/09/2017,2979
24/09/2017,2959
23/09/2017,2959
22/09/2017,2963
21/09/2017,2951
20/09/2017,2978
19/09/2017,2967
18/09/2017,2963
17/09/2017,2986
16/09/2017,2986
15/09/2017,2987
14/09/2017,2992
13/09/2017,2988
12/9/2017,2990
11/9/2017,3001
10/9/2017,3027
9/9/2017,3027
8/9/2017,3026
7/9/2017,3026
6/9/2017,3020
5/9/2017,3014
4/9/2017,3011
3/9/2017,2982
2/9/2017,2982
1/9/2017,2978
31/10/2017,2918
30/10/2017,2930
29/10/2017,2932
28/10/2017,2932
27/10/2017,2929
26/10/2017,2932
25/10/2017,2935
24/10/2017,2950
23/10/2017,2941
22/10/2017,2955
21/10/2017,2955
20/10/2017,2961
19/10/2017,2968
18/10/2017,2957
17/10/2017,2964
16/10/2017,2992
15/10/2017,2985
14/10/2017,2985
13/10/2017,2979
12/10/2017,2980
11/10/2017,2977
10/10/2017,2985
9/10/2017,2973
8/10/2017,2957
7/10/2017,2957
6/10/2017,2955
5/10/2017,2935
4/10/2017,2931
3/10/2017,2939
2/10/2017,2956
1/10/2017,2956
30/11/2017,2918
29/11/2017,2925
28/11/2017,2941
27/11/2017,2945
26/11/2017,2938
25/11/2017,2938
24/11/2017,2944
23/11/2017,2945
22/11/2017,2945
21/11/2017,2940
20/11/2017,2962
19/11/2017,2969
18/11/2017,2969
17/11/2017,2948
16/11/2017,2952
15/11/2017,2965
14/11/2017,2948
13/11/2017,2957
12/11/2017,2949
11/11/2017,2949
10/11/2017,2966
9/11/2017,2959
8/11/2017,2953
7/11/2017,2940
6/11/2017,2917
5/11/2017,2909
4/11/2017,2909
3/11/2017,2915
2/11/2017,2928
1/11/2017,2924
31/12/2017,2917
30/12/2017,2917
29/12/2017,2906
28/12/2017,2903
27/12/2017,2890
26/12/2017,2880
25/12/2017,2866
24/12/2017,2866
23/12/2017,2866
22/12/2017,2858
21/12/2017,2845
20/12/2017,2845
19/12/2017,2843
18/12/2017,2844
17/12/2017,2825
16/12/2017,2825
15/12/2017,2831
14/12/2017,2825
13/12/2017,2816
12/12/2017,2817
11/12/2017,2840
10/12/2017,2853
9/12/2017,2853
8/12/2017,2857
7/12/2017,2876
6/12/2017,2898
5/12/2017,2911
4/12/2017,2903
3/12/2017,2921
2/12/2017,2921
1/12/2017,2908
31/01/2018,3009
30/01/2018,3016
29/01/2018,3006
28/01/2018,3036
27/01/2018,3036
26/01/2018,3036
25/01/2018,3021
24/01/2018,3021
23/01/2018,2982
22/01/2018,2984
21/01/2018,2977
20/01/2018,2977
19/01/2018,2975
18/01/2018,2964
17/01/2018,2976
16/01/2018,2976
15/01/2018,2973
14/01/2018,2957
13/01/2018,2957
12/1/2018,2944
11/1/2018,2938
10/1/2018,2932
9/1/2018,2917
8/1/2018,2925
7/1/2018,2922
6/1/2018,2922
5/1/2018,2918
4/1/2018,2917
3/1/2018,2924
2/1/2018,2918
1/1/2018,2912
28/02/2018,3036
27/02/2018,3047
26/02/2018,3056
25/02/2018,3051
24/02/2018,3051
23/02/2018,3045
22/02/2018,3048
21/02/2018,3051
20/02/2018,3072
19/02/2018,3076
18/02/2018,3080
17/02/2018,3080
16/02/2018,3078
15/02/2018,3058
14/02/2018,3033
13/02/2018,3018
12/2/2018,3012
11/2/2018,3001
10/2/2018,3001
9/2/2018,2994
8/2/2018,2995
7/2/2018,3010
6/2/2018,3031
5/2/2018,3027
4/2/2018,3037
3/2/2018,3037
2/2/2018,3034
1/2/2018,3045
31/03/2018,3041
30/03/2018,3041
29/03/2018,3042
28/03/2018,3052
27/03/2018,3071
26/03/2018,3093
25/03/2018,3091
24/03/2018,3091
23/03/2018,3089
22/03/2018,3049
21/03/2018,3045
20/03/2018,3026
19/03/2018,3043
18/03/2018,3022
17/03/2018,3022
16/03/2018,3023
15/03/2018,3032
14/03/2018,3041
13/03/2018,3038
12/3/2018,3032
11/3/2018,3040
10/3/2018,3040
9/3/2018,3040
8/3/2018,3044
7/3/2018,3046
6/3/2018,3059
5/3/2018,3036
4/3/2018,3045
3/3/2018,3045
2/3/2018,3050
1/3/2018,3019
30/04/2018,3104
29/04/2018,3121
28/04/2018,3121
27/04/2018,3121
26/04/2018,3125
25/04/2018,3139
24/04/2018,3139
23/04/2018,3128
22/04/2018,3143
21/04/2018,3143
20/04/2018,3144
19/04/2018,3160
18/04/2018,3154
17/04/2018,3139
16/04/2018,3130
15/04/2018,3112
14/04/2018,3112
13/04/2018,3111
12/4/2018,3101
11/4/2018,3135
10/4/2018,3086
9/4/2018,3076
8/4/2018,3069
7/4/2018,3069
6/4/2018,3070
5/4/2018,3035
4/4/2018,3072
3/4/2018,3064
2/4/2018,3096
1/4/2018,3041
31/05/2018,3087
30/05/2018,3104
29/05/2018,3118
28/05/2018,3097
27/05/2018,3119
26/05/2018,3119
25/05/2018,3118
24/05/2018,3148
23/05/2018,3119
22/05/2018,3111
21/05/2018,3112
20/05/2018,3109
19/05/2018,3109
18/05/2018,3108
17/05/2018,3098
16/05/2018,3100
15/05/2018,3117
14/05/2018,3149
13/05/2018,3152
12/5/2018,3152
11/5/2018,3153
10/5/2018,3136
9/5/2018,3130
8/5/2018,3123
7/5/2018,3126
6/5/2018,3111
5/5/2018,3111
4/5/2018,3112
3/5/2018,3105
2/5/2018,3093
1/5/2018,3091
30/06/2018,3043
29/06/2018,3043
28/06/2018,3049
27/06/2018,3069
26/06/2018,3055
25/06/2018,3065
24/06/2018,3061
23/06/2018,3061
22/06/2018,3062
21/06/2018,3062
20/06/2018,3077
19/06/2018,3088
18/06/2018,3099
17/06/2018,3101
16/06/2018,3101
15/06/2018,3101
14/06/2018,3139
13/06/2018,3114
12/6/2018,3116
11/6/2018,3122
10/6/2018,3122
9/6/2018,3122
8/6/2018,3122
7/6/2018,3119
6/6/2018,3085
5/6/2018,3068
4/6/2018,3060
3/6/2018,3055
2/6/2018,3055
1/6/2018,3055
31/07/2018,2971
30/07/2018,2974
29/07/2018,2977
28/07/2018,2977
27/07/2018,2978
26/07/2018,2978
25/07/2018,2992
24/07/2018,2984
23/07/2018,2986
22/07/2018,2990
21/07/2018,2990
20/07/2018,2990
19/07/2018,2988
18/07/2018,2976
17/07/2018,2974
16/07/2018,3009
15/07/2018,3011
14/07/2018,3011
13/07/2018,3010
12/7/2018,3015
11/7/2018,3030
10/7/2018,3053
9/7/2018,3062
8/7/2018,3056
7/7/2018,3056
6/7/2018,3056
5/7/2018,3064
4/7/2018,3062
3/7/2018,3050
2/7/2018,3029
1/7/2018,3043
31/08/2018,3031
30/08/2018,3023
29/08/2018,3010
28/08/2018,3007
27/08/2018,3005
26/08/2018,2989
25/08/2018,2989
24/08/2018,2980
23/08/2018,2964
22/08/2018,2970
21/08/2018,2958
20/08/2018,2946
19/08/2018,2935
18/08/2018,2935
17/08/2018,2940
16/08/2018,2942
15/08/2018,2973
14/08/2018,2980
13/08/2018,2982
12/8/2018,2979
11/8/2018,2979
10/8/2018,2978
9/8/2018,2949
8/8/2018,2949
7/8/2018,2949
6/8/2018,2949
5/8/2018,2948
4/8/2018,2948
3/8/2018,2948
2/8/2018,2945
1/8/2018,2946
30/09/2018,3051
29/09/2018,3051
28/09/2018,3050
27/09/2018,3033
26/09/2018,3060
25/09/2018,3083
24/09/2018,3084
23/09/2018,3057
22/09/2018,3057
21/09/2018,3058
20/09/2018,3060
19/09/2018,3092
18/09/2018,3086
17/09/2018,3076
16/09/2018,3043
15/09/2018,3043
14/09/2018,3061
